Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAP_J-V_10X10P5_RUB,2,330uF,
"C10, C5",0805,2,10uF,
"C11, C7, C8, C9",0603,4,0.1uF,
C3,0603,1,2.2uF,
C4,0603,1,NC,
"D1, D3",D_SMA,2,SS34,
D2,0805,1,LED,
IC1,SOT95P280X100-5N,1,ADP7118AUJZ-3.3-R7,
J1,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,Screw_Terminal_2_P5.00mm,
"J10, J4, J6, J8",PinHeader_2x03_P2.54mm_Vertical,4,Conn_02x03_Top_Bottom,
"J11, J5, J7, J9",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,4,Conn_01x04,
"J12, J13, J14, J15, J16",JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,5,Conn_01x03,
J17,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J2,BarrelJack_Kycon_KLDX-0202-xC_Horizontal,1,Barrel_Jack_Switch,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
L1,L_12x12mm_H8mm,1,47uH,
LED1,150505M173300,1,150505M173300,
R1,0603,1,0,
"R10, R11, R12, R13, R14, R15, R16, R17, R6, R7, R8",0603,11,1K,
"R18, R19, R2, R20, R21, R4, R5, R9",0603,8,10K,
R3,0603,1,47K,
SW1,Tactile 3x4x2mm TS-A010,1,RST,
SW2,Tactile 3x4x2mm TS-A010,1,BOOT,
U1,TO-263-5_TabPin3,1,LM2596S-5,
U2,MAX6899AAZT+T,1,MAX6899AAZT+T,
U3,ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1,
"U4, U5, U6, U7",MODULE_TMC2209_SILENTSTEPSTICK,4,TMC2209_SILENTSTEPSTICK,
